target,income,credit,annuity,ext_score,age,credit_income_ratio,risk_score,risk_segment,income_bin
0,207000.0,465457.5,52641.0,0.42709989096358925,36,2.248586956521739,0.5038938022194502,Medium Risk,High
0,247500.0,1281712.5,48946.5,0.5227775818022858,40,5.178636363636364,0.5202336282876732,High Risk,Very High
0,202500.0,495000.0,39109.5,0.42232108617526115,49,2.4444444444444446,0.5047388508517634,Medium Risk,High
0,112500.0,308133.0,15862.5,0.6173158449529419,55,2.73896,0.4100114527608454,Low Risk,Very Low
1,67500.0,331920.0,17077.5,0.466053059683265,36,4.917333333333334,0.5565647933687796,High Risk,Very Low
0,180000.0,774000.0,28813.5,0.3680031250845644,30,4.3,0.5782459955972528,High Risk,Medium
0,157500.0,824823.0,24246.0,0.6447749559322243,64,5.236971428571429,0.45111607594961106,Medium Risk,Medium
0,270000.0,755190.0,38610.0,0.46290242453021785,26,2.797,0.4898910115461174,Medium Risk,Very High
0,247500.0,270045.0,30595.5,0.27062498655652956,23,1.0910909090909091,0.41445696878108895,Low Risk,Very High
1,112500.0,339241.5,16627.5,0.3631148327616698,38,3.01548,0.5485159347274464,High Risk,Very Low
0,171000.0,375322.5,20488.5,0.49953176717152054,29,2.1948684210526315,0.4375148212186343,Medium Risk,Medium
0,135000.0,675000.0,34465.5,0.6381158537802011,37,5.0,0.47200207310989944,Medium Risk,Low
0,202500.0,713889.0,56533.5,0.4093793446257143,35,3.525377777777778,0.5660486202228171,High Risk,High
0,225000.0,1710000.0,59566.5,0.553200638463884,61,7.6,0.5368739965575317,High Risk,High
0,135000.0,225000.0,12334.5,0.49149242697492196,36,1.6666666666666667,0.39252711984587235,Low Risk,Low
0,202500.0,405000.0,20250.0,0.4263932718890158,43,2.0,0.45680336405549216,Medium Risk,High
0,157500.0,545040.0,26509.5,0.6878237723402248,31,3.4605714285714284,0.4030600859000895,Low Risk,Medium
0,112500.0,202500.0,10125.0,0.5368722947021457,30,1.8,0.3828971859822605,Low Risk,Very Low
